,Parcel ID,Property address
0,429-01-002,"1246 Curtiss Av San Jose, CA 95125"
1,429-01-003,"1232 Curtiss Av San Jose, CA 95125"
2,429-01-005,"1220 Curtiss Av San Jose, CA 95125"
3,429-01-007,"1192 Curtiss Av San Jose, CA 95125"
4,429-01-011,"1150 Curtiss Av San Jose, CA 95125"
5,429-01-013,"1134 Curtiss Av San Jose, CA 95125"
6,429-01-044,"1183 Bird Av San Jose, CA 95125"
7,429-01-045,"1185 Bird Av San Jose, CA 95125"
8,429-01-047,"1178 Curtiss Av San Jose, CA 95125"
9,429-01-048,"1164 Curtiss Av San Jose, CA 95125"
10,429-01-050,"880 Willow St San Jose, CA 95125"
11,429-01-052,"1135 Bird Av San Jose, CA 95125"
12,429-01-057,"1254 Curtiss Av San Jose, CA 95125"
13,429-01-058,"1256 Curtiss Av San Jose, CA 95125"
14,429-01-060,"820 Willow St San Jose, CA 95125"
15,429-02-001,"1255 Bird Av San Jose, CA 95125"
16,429-02-002,"1265 Bird Av San Jose, CA 95125"
17,429-02-003,"1275 Bird Av San Jose, CA 95125"
18,429-02-004,"1285 Bird Av San Jose, CA 95125"
19,429-02-006,"1305 Bird Av San Jose, CA 95125"
20,429-02-008,"1325 Bird Av San Jose, CA 95125"
21,429-02-009,"1335 Bird Av San Jose, CA 95125"
22,429-02-010,"1345 Bird Av San Jose, CA 95125"
23,429-02-018,"819 Minnesota Av San Jose, CA 95125"
24,429-02-020,"839 Minnesota Av San Jose, CA 95125"
25,429-02-021,"845 Minnesota Av San Jose, CA 95125"
26,429-02-023,"1378 Cristina Av San Jose, CA 95125"
27,429-02-033,"1318 Cristina Av San Jose, CA 95125"
28,429-02-035,"1306 Cristina Av San Jose, CA 95125"
29,429-02-037,"1287 Cristina Av San Jose, CA 95125"
30,429-02-038,"1293 Cristina Av San Jose, CA 95125"
31,429-02-039,"1305 Cristina Av San Jose, CA 95125"
32,429-02-040,"1311 Cristina Av San Jose, CA 95125"
33,429-02-041,"1317 Cristina Av San Jose, CA 95125"
34,429-02-047,"1353 Cristina Av San Jose, CA 95125"
35,429-02-050,"1371 Cristina Av San Jose, CA 95125"
36,429-02-051,"1377 Cristina Av San Jose, CA 95125"
37,429-02-053,"865 Minnesota Av San Jose, CA 95125"
38,429-02-054,"875 Minnesota Av San Jose, CA 95125"
39,429-02-055,"885 Minnesota Av San Jose, CA 95125"
40,429-02-057,"1376 Curtiss Av San Jose, CA 95125"
41,429-02-058,"1366 Curtiss Av San Jose, CA 95125"
42,429-02-059,"1358 Curtiss Av San Jose, CA 95125"
43,429-02-060,"1350 Curtiss Av San Jose, CA 95125"
44,429-02-062,"1334 Curtiss Av San Jose, CA 95125"
45,429-02-066,"1302 Curtiss Av San Jose, CA 95125"
46,429-02-067,"1292 Curtiss Av San Jose, CA 95125"
47,429-02-069,"1272 Curtiss Av San Jose, CA 95125"
48,429-02-070,"1264 Curtiss Av San Jose, CA 95125"
49,429-02-071,"1390 Curtiss Av San Jose, CA 95125"
50,429-02-073,"1355 Bird Av San Jose, CA 95125"
51,429-02-075,"1365 Bird Av San Jose, CA 95125"
52,429-03-008,"1191 Curtiss Av San Jose, CA 95125"
53,429-03-013,"1247 Curtiss Av San Jose, CA 95125"
54,429-03-014,"1263 Curtiss Av San Jose, CA 95125"
55,429-03-020,"1313 Curtiss Av San Jose, CA 95125"
56,429-03-021,"1323 Curtiss Av San Jose, CA 95125"
57,429-03-025,"1351 Curtiss Av San Jose, CA 95125"
58,429-03-035,"1356 Kotenberg Av San Jose, CA 95125"
59,429-03-077,"1336 Kotenberg Av San Jose, CA 95125"
60,429-03-078,"1326 Kotenberg Av San Jose, CA 95125"
61,429-03-039,"1316 Kotenberg Av San Jose, CA 95125"
62,429-03-040,"1302 Kotenberg Av San Jose, CA 95125"
63,429-03-041,"1298 Kotenberg Av San Jose, CA 95125"
64,429-03-043,"1280 Kotenberg Av San Jose, CA 95125"
65,429-03-045,"1266 Kotenberg Av San Jose, CA 95125"
66,429-03-046,"1258 Kotenberg Av San Jose, CA 95125"
67,429-03-047,"1254 Kotenberg Av San Jose, CA 95125"
68,429-03-058,"1174 Kotenberg Av San Jose, CA 95125"
69,429-03-059,"1158 Kotenberg Av San Jose, CA 95125"
70,429-03-061,"1148 Kotenberg Av San Jose, CA 95125"
71,429-03-062,"1140 Kotenberg Av San Jose, CA 95125"
72,429-03-066,"1229 Curtiss Av San Jose, CA 95125"
73,429-03-069,"906 Willow St San Jose, CA 95125"
74,429-03-072,"940 Willow St San Jose, CA 95125"
75,429-03-073,"1188 Kotenberg Av San Jose, CA 95125"
76,429-03-075,"917 Minnesota Av San Jose, CA 95125"
77,429-04-005,"954 Willow St San Jose, CA 95125"
78,429-04-006,"1119 Kotenberg Av San Jose, CA 95125"
79,429-04-015,"1203 Kotenberg Av San Jose, CA 95125"
80,429-04-016,"1209 Kotenberg Av San Jose, CA 95125"
81,429-04-022,"1253 Kotenberg Av San Jose, CA 95125"
82,429-04-025,"1275 Kotenberg Av San Jose, CA 95125"
83,429-04-029,"979 Longley Av San Jose, CA 95125"
84,429-04-031,"987 Longley Av San Jose, CA 95125"
85,429-04-033,"988 Longley Av San Jose, CA 95125"
86,429-04-035,"980 Longley Av San Jose, CA 95125"
87,429-04-004,"964 Willow St San Jose, CA 95125"
88,429-03-060,"1152 Kotenberg Av San Jose, CA 95125"
89,429-04-038,"1355 Kotenberg Av San Jose, CA 95125"
90,429-04-039,"1365 Kotenberg Av San Jose, CA 95125"
91,429-04-041,"1385 Kotenberg Av San Jose, CA 95125"
92,429-04-042,"1395 Kotenberg Av San Jose, CA 95125"
93,429-04-043,"963 Minnesota Av San Jose, CA 95125"
94,429-04-044,"971 Minnesota Av San Jose, CA 95125"
95,429-04-047,"1380 Settle Av San Jose, CA 95125"
96,429-04-048,"1370 Settle Av San Jose, CA 95125"
97,429-04-061,"1262 Settle Av San Jose, CA 95125"
98,429-04-065,"1222 Settle Av San Jose, CA 95125"
99,429-04-067,"1200 Settle Av San Jose, CA 95125"
100,429-04-068,"1186 Settle Av San Jose, CA 95125"
101,429-04-069,"1176 Settle Av San Jose, CA 95125"
102,429-04-070,"1168 Settle Av San Jose, CA 95125"
103,429-04-072,"1148 Settle Av San Jose, CA 95125"
104,429-04-073,"1138 Settle Av San Jose, CA 95125"
105,429-04-077,"1246 Settle Av San Jose, CA 95125"
106,429-04-078,"1233 Kotenberg Av San Jose, CA 95125"
107,429-04-079,"1241 Kotenberg Av San Jose, CA 95125"
108,429-04-080,"1282 Settle Av San Jose, CA 95125"
109,429-04-081,"1276 Settle Av San Jose, CA 95125"
110,429-04-089,"1238 Settle Av San Jose, CA 95125"
111,429-05-007,"1167 Settle Av San Jose, CA 95125"
112,429-05-011,"1217 Settle Av San Jose, CA 95125"
113,429-05-012,"1231 Settle Av San Jose, CA 95125"
114,429-05-014,"1245 Settle Av San Jose, CA 95125"
115,429-05-020,"1287 Settle Av San Jose, CA 95125"
116,429-05-021,"1293 Settle Av San Jose, CA 95125"
117,429-05-023,"1305 Settle Av San Jose, CA 95125"
118,429-05-024,"1321 Settle Av San Jose, CA 95125"
119,429-05-028,"1371 Settle Av San Jose, CA 95125"
120,429-05-029,"1377 Settle Av San Jose, CA 95125"
121,429-05-032,"1005 Minnesota Av San Jose, CA 95125"
122,429-05-037,"1350 Blewett Av San Jose, CA 95125"
123,429-05-039,"1332 Blewett Av San Jose, CA 95125"
124,429-05-042,"1312 Blewett Av San Jose, CA 95125"
125,429-05-052,"1238 Blewett Av San Jose, CA 95125"
126,429-05-054,"1222 Blewett Av San Jose, CA 95125"
127,429-05-055,"1214 Blewett Av San Jose, CA 95125"
128,429-05-056,"1206 Blewett Av San Jose, CA 95125"
129,429-05-057,"1200 Blewett Av San Jose, CA 95125"
130,429-05-061,"1170 Blewett Av San Jose, CA 95125"
131,429-05-062,"1162 Blewett Av San Jose, CA 95125"
132,429-05-063,"1156 Blewett Av San Jose, CA 95125"
133,429-05-064,"1150 Blewett Av San Jose, CA 95125"
134,429-05-065,"1142 Blewett Av San Jose, CA 95125"
135,429-05-066,"1134 Blewett Av San Jose, CA 95125"
136,429-05-067,"1122 Blewett Av San Jose, CA 95125"
137,429-05-068,"1110 Blewett Av San Jose, CA 95125"
138,429-05-071,"1185 Settle Av San Jose, CA 95125"
139,429-05-072,"1025 Minnesota Av San Jose, CA 95125"
140,429-05-076,"1246 Blewett Av San Jose, CA 95125"
141,429-05-080,"1253 Settle Av San Jose, CA 95125"
